id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
197548,0,2,t,10,2,86,2,,256,3,6,0,1960
197549,0,1,t,9,3,86,2,,256,3,58,1,1960
197550,0,4,t,3,4,86,2,,256,3,60,0,1960
197551,0,5,t,2,5,86,2,,256,3,34,0,1960
197552,0,12,f,0,,86,2,,256,3,70,0,1960
197553,0,13,f,0,,86,2,,256,3,2,0,1960
197554,0,1,t,14,1,87,3,,259,3,59,1,1960
197555,0,2,t,10,2,87,3,,259,3,6,0,1960
197556,0,1,t,9,3,87,3,,259,3,58,1,1960
197557,0,4,t,3,4,87,3,,259,3,60,0,1960
197558,0,5,t,2,5,87,3,,259,3,34,0,1960
197559,0,12,f,0,,87,3,,259,3,70,0,1960
197560,0,13,f,0,,87,3,,259,3,2,0,1960
197561,0,1,t,22,1,88,4,,262,3,59,2,1960
197562,0,1,t,15,2,88,4,,262,3,58,1,1960
197563,0,2,t,12,3,88,4,,262,3,6,0,1960
197564,0,3,t,6,4,88,4,,262,3,34,0,1960
197565,0,4,t,3,5,88,4,,262,3,60,0,1960
197566,0,12,f,0,,88,4,,262,3,70,0,1960
197567,0,13,f,0,,88,4,,262,3,2,0,1960
197568,0,,f,0,,88,4,,262,3,64,0,1960
197569,0,,f,0,,88,4,,262,3,71,0,1960
197570,0,1,t,30,1,89,5,,265,3,59,3,1960
197571,0,1,t,17,2,89,5,,265,3,58,1,1960
197572,0,2,t,15,3,89,5,,265,3,6,0,1960
197573,0,3,t,6,4,89,5,,265,3,34,0,1960
197574,0,4,t,3,5,89,5,,265,3,60,0,1960
197575,0,12,f,0,,89,5,,265,3,70,0,1960
197576,0,13,f,0,,89,5,,265,3,2,0,1960
197577,0,,f,0,,89,5,,265,3,71,0,1960
197578,0,,f,0,,89,5,,265,3,64,0,1960
197579,0,1,t,38,1,90,6,,268,3,59,4,1960
197580,0,1,t,19,2,90,6,,268,3,58,1,1960
197581,0,2,t,15,3,90,6,,268,3,6,0,1960
197582,0,3,t,6,4,90,6,,268,3,34,0,1960
197583,0,4,t,3,5,90,6,,268,3,60,0,1960
197584,0,12,f,0,,90,6,,268,3,70,0,1960
197585,0,13,f,0,,90,6,,268,3,2,0,1960
197586,0,,f,0,,90,6,,268,3,71,0,1960
197587,0,,f,0,,90,6,,268,3,72,0,1960
197588,0,,f,0,,90,6,,268,3,64,0,1960
197589,0,,f,0,,90,6,,268,3,49,0,1960
197590,0,1,t,46,1,91,7,,271,3,59,5,1960
197591,0,1,t,25,2,91,7,,271,3,58,1,1960
197592,0,2,t,16,3,91,7,,271,3,6,0,1960
197593,0,3,t,6,4,91,7,,271,3,34,0,1960
197594,0,4,t,3,5,91,7,,271,3,60,0,1960
197595,0,11,f,0,,91,7,,271,3,64,0,1960
197596,0,12,f,0,,91,7,,271,3,70,0,1960
197597,0,13,f,0,,91,7,,271,3,2,0,1960
197598,0,13,f,0,,91,7,,271,3,65,0,1960
197599,0,15,f,0,,91,7,,271,3,72,0,1960
197600,0,,f,0,,91,7,,271,3,71,0,1960
197601,0,,f,0,,91,7,,271,3,49,0,1960
197602,0,1,t,48,1,92,8,,274,3,59,6,1960
197603,0,1,t,28,2,92,8,,274,3,58,1,1960
197604,0,2,t,19,3,92,8,,274,3,6,0,1960
197605,0,3,t,6,4,92,8,,274,3,34,0,1960
